step,sim_t,x,y,yaw,s,ey,epsi,raw_steer,safe_steer,rules_fired
129,6.4500,0.5241,0.7752,-0.3010,1.2000,0.0252,-0.3010,0.2867,0.2867,
130,6.5000,0.5337,0.7723,-0.2954,1.2000,0.0223,-0.2954,0.3071,0.3071,
131,6.5500,0.5433,0.7694,-0.2894,1.2000,0.0194,-0.2894,0.3262,0.3262,
132,6.6000,0.5529,0.7666,-0.2830,1.3000,0.0166,-0.2830,0.3439,0.3439,
133,6.6500,0.5625,0.7638,-0.2763,1.3000,0.0138,-0.2763,0.3604,0.3604,
134,6.7000,0.5721,0.7611,-0.2693,1.3000,0.0111,-0.2693,0.3756,0.3756,
135,6.7500,0.5817,0.7585,-0.2619,1.3000,0.0085,-0.2619,0.3895,0.3895,
136,6.8000,0.5914,0.7560,-0.2543,1.3000,0.0060,-0.2543,0.4022,0.4022,
137,6.8500,0.6011,0.7535,-0.2464,1.3000,0.0035,-0.2464,0.4136,0.4136,
138,6.9000,0.6108,0.7511,-0.2383,1.3000,0.0011,-0.2383,0.4238,0.4238,
139,6.9500,0.6205,0.7488,-0.2300,1.3000,-0.0012,-0.2300,0.4328,0.4328,
140,7.0000,0.6303,0.7465,-0.2216,1.3000,-0.0035,-0.2216,0.4406,0.4406,
141,7.0500,0.6400,0.7444,-0.2129,1.3000,-0.0056,-0.2129,0.4473,0.4473,
142,7.1000,0.6498,0.7423,-0.2042,1.3000,-0.0077,-0.2042,0.4528,0.4528,
143,7.1500,0.6596,0.7403,-0.1953,1.4000,-0.0097,-0.1953,0.4572,0.4572,
144,7.2000,0.6694,0.7384,-0.1863,1.4000,-0.0116,-0.1863,0.4606,0.4606,
145,7.2500,0.6793,0.7366,-0.1773,1.4000,-0.0134,-0.1773,0.4629,0.4629,
146,7.3000,0.6891,0.7349,-0.1682,1.4000,-0.0151,-0.1682,0.4642,0.4642,
147,7.3500,0.6990,0.7333,-0.1591,1.4000,-0.0167,-0.1591,0.4645,0.4645,
148,7.4000,0.7089,0.7317,-0.1500,1.4000,-0.0183,-0.1500,0.4638,0.4638,
149,7.4500,0.7188,0.7303,-0.1409,1.4000,-0.0197,-0.1409,0.4623,0.4623,
150,7.5000,0.7287,0.7289,-0.1318,1.4000,-0.0211,-0.1318,0.4598,0.4598,
151,7.5500,0.7386,0.7276,-0.1228,1.4000,-0.0224,-0.1228,0.4565,0.4565,
152,7.6000,0.7485,0.7265,-0.1138,1.4000,-0.0235,-0.1138,0.4524,0.4524,
153,7.6500,0.7585,0.7254,-0.1050,1.5000,-0.0240,-0.0397,-0.2162,0.3024,C-06
154,7.7000,0.7684,0.7243,-0.0991,1.5000,-0.0244,-0.0338,0.3182,0.3182,
155,7.7500,0.7784,0.7234,-0.0929,1.5000,-0.0247,-0.0276,0.3065,0.3065,
156,7.8000,0.7883,0.7225,-0.0869,1.5000,-0.0249,-0.0216,0.2986,0.2986,
157,7.8500,0.7983,0.7217,-0.0810,1.5000,-0.0251,-0.0158,0.2898,0.2898,
158,7.9000,0.8083,0.7209,-0.0754,1.5000,-0.0253,-0.0101,0.2808,0.2808,
159,7.9500,0.8182,0.7201,-0.0699,1.5000,-0.0253,-0.0046,0.2716,0.2716,
160,8.0000,0.8282,0.7195,-0.0646,1.5000,-0.0254,0.0007,0.2621,0.2621,
161,8.0500,0.8382,0.7189,-0.0595,1.5000,-0.0253,0.0058,0.2524,0.2524,
162,8.1000,0.8482,0.7183,-0.0546,1.5981,-0.0248,0.1424,-1.0000,0.1024,C-06
163,8.1500,0.8582,0.7177,-0.0526,1.5981,-0.0233,0.1444,-0.0382,-0.0382,
164,8.2000,0.8682,0.7172,-0.0533,1.5981,-0.0219,0.1437,-0.0328,-0.0328,
165,8.2500,0.8781,0.7167,-0.0540,1.5981,-0.0205,0.1430,-0.0494,-0.0494,
166,8.3000,0.8881,0.7161,-0.0549,1.5981,-0.0191,0.1421,-0.0620,-0.0620,
167,8.3500,0.8981,0.7156,-0.0561,1.5981,-0.0176,0.1409,-0.0745,-0.0745,
168,8.4000,0.9081,0.7150,-0.0576,1.5981,-0.0162,0.1394,-0.0863,-0.0863,
169,8.4500,0.9181,0.7144,-0.0593,1.5981,-0.0149,0.1377,-0.0976,-0.0976,
170,8.5000,0.9281,0.7138,-0.0612,1.5981,-0.0135,0.1358,-0.1083,-0.1083,
171,8.5500,0.9380,0.7132,-0.0633,1.5981,-0.0122,0.1337,-0.1184,-0.1184,
172,8.6000,0.9480,0.7126,-0.0656,1.6962,-0.0099,0.2613,-1.0000,-0.2684,C-06
173,8.6500,0.9580,0.7119,-0.0708,1.6962,-0.0074,0.2561,-0.4071,-0.4071,
174,8.7000,0.9680,0.7111,-0.0788,1.6962,-0.0049,0.2481,-0.3994,-0.3994,
175,8.7500,0.9779,0.7103,-0.0866,1.6962,-0.0025,0.2403,-0.4133,-0.4133,
176,8.8000,0.9879,0.7094,-0.0947,1.6962,-0.0001,0.2322,-0.4224,-0.4224,
177,8.8500,0.9978,0.7084,-0.1030,1.6962,0.0021,0.2239,-0.4309,-0.4309,
178,8.9000,1.0078,0.7073,-0.1114,1.6962,0.0043,0.2155,-0.4381,-0.4381,
179,8.9500,1.0177,0.7062,-0.1200,1.6962,0.0064,0.2069,-0.4443,-0.4443,
180,9.0000,1.0276,0.7050,-0.1287,1.6962,0.0084,0.1982,-0.4493,-0.4493,
181,9.0500,1.0376,0.7036,-0.1375,1.6962,0.0103,0.1894,-0.4532,-0.4532,
182,9.1000,1.0475,0.7022,-0.1464,1.7943,0.0130,0.3118,-1.0000,-0.6032,C-06
183,9.1500,1.0573,0.7007,-0.1583,1.7943,0.0160,0.2999,-0.7271,-0.7271,
184,9.2000,1.0672,0.6990,-0.1728,1.7943,0.0189,0.2854,-0.7121,-0.7121,
185,9.2500,1.0770,0.6973,-0.1869,1.7943,0.0216,0.2713,-0.7181,-0.7181,
186,9.3000,1.0869,0.6953,-0.2012,1.7943,0.0242,0.2570,-0.7188,-0.7188,
187,9.3500,1.0966,0.6933,-0.2154,1.7943,0.0267,0.2427,-0.7187,-0.7187,
188,9.4000,1.1064,0.6911,-0.2297,1.7943,0.0290,0.2285,-0.7170,-0.7170,
189,9.4500,1.1161,0.6887,-0.2440,1.7943,0.0312,0.2142,-0.7139,-0.7139,
190,9.5000,1.1258,0.6862,-0.2581,1.7943,0.0333,0.2000,-0.7095,-0.7095,
191,9.5500,1.1354,0.6836,-0.2722,1.7943,0.0352,0.1860,-0.7038,-0.7038,
