step,sim_t,x,y,yaw,s,ey,epsi,raw_steer,safe_steer,rules_fired
120,6.0000,0.0000,1.2500,1.5708,1.2000,-0.0000,0.0000,0.0000,0.0000,
121,6.0500,0.0000,1.2600,1.5708,1.2000,-0.0000,0.0000,0.0000,0.0000,
122,6.1000,0.0000,1.2700,1.5708,1.2000,-0.0000,0.0000,0.0000,0.0000,
123,6.1500,0.0000,1.2800,1.5708,1.2000,-0.0000,0.0000,0.0000,0.0000,
124,6.2000,0.0000,1.2900,1.5708,1.2000,-0.0000,0.0000,0.0000,0.0000,
125,6.2500,0.0000,1.3000,1.5708,1.3000,-0.0000,0.0000,0.0000,0.0000,
126,6.3000,0.0000,1.3100,1.5708,1.3000,-0.0000,0.0000,0.0000,0.0000,
127,6.3500,0.0000,1.3200,1.5708,1.3000,-0.0000,0.0000,0.0000,0.0000,
128,6.4000,0.0000,1.3300,1.5708,1.3000,-0.0000,0.0000,0.0000,0.0000,
129,6.4500,0.0000,1.3400,1.5708,1.3000,-0.0000,0.0000,0.0000,0.0000,
130,6.5000,0.0000,1.3500,1.5708,1.3000,-0.0000,0.0000,0.0000,0.0000,
131,6.5500,0.0000,1.3600,1.5708,1.3000,-0.0000,0.0000,0.0000,0.0000,
132,6.6000,0.0000,1.3700,1.5708,1.3000,-0.0000,0.0000,0.0000,0.0000,
133,6.6500,0.0000,1.3800,1.5708,1.3000,-0.0000,0.0000,0.0000,0.0000,
134,6.7000,0.0000,1.3900,1.5708,1.3000,-0.0000,0.0000,0.0000,0.0000,
135,6.7500,0.0000,1.4000,1.5708,1.4000,-0.0000,0.0000,0.0000,0.0000,
136,6.8000,0.0000,1.4100,1.5708,1.4000,-0.0000,0.0000,0.0000,0.0000,
137,6.8500,0.0000,1.4200,1.5708,1.4000,-0.0000,0.0000,0.0000,0.0000,
138,6.9000,0.0000,1.4300,1.5708,1.4000,-0.0000,0.0000,0.0000,0.0000,
139,6.9500,0.0000,1.4400,1.5708,1.4000,-0.0000,0.0000,0.0000,0.0000,
140,7.0000,0.0000,1.4500,1.5708,1.4000,-0.0000,0.0000,0.0000,0.0000,
141,7.0500,0.0000,1.4600,1.5708,1.4000,-0.0000,0.0000,0.0000,0.0000,
142,7.1000,0.0000,1.4700,1.5708,1.4000,-0.0000,0.0000,0.0000,0.0000,
