stamp_s,why,ey_m,epsi_rad,lane_width_m,n_lines,confidence,reason
1788182985.820,bad_width,0.04548,-0.27651,0.16817,2,0.375,ok
1788182985.870,bad_width,0.04347,-0.28295,0.17774,2,0.375,ok
1788182985.920,bad_width,0.04324,-0.28887,0.18041,2,0.375,ok
1788182985.970,unpaired,0.06890,-0.30383,0.21700,2,0.146,single_line
1788182986.020,unpaired,0.06771,-0.30649,0.21700,2,0.146,single_line
1788182986.070,unpaired,0.06986,-0.32168,0.21700,2,0.146,single_line
1788182986.120,unpaired,0.07002,-0.33006,0.21700,2,0.146,single_line
1788182986.220,unpaired,0.06509,-0.32452,0.21700,2,0.146,single_line
1788182986.320,bad_width,0.01609,-0.32099,0.29027,2,0.333,ok
1788182986.370,bad_width,0.00286,-0.33421,0.31675,2,0.333,ok
1788182986.470,bad_width,0.09030,-0.32966,0.14391,2,0.375,ok
1788182986.520,unpaired,0.01458,-0.04231,0.22825,2,0.208,single_line
1788182986.570,unpaired,0.01260,-0.03280,0.22825,2,0.229,single_line
1788182986.670,unpaired,0.08183,-0.47169,0.22825,2,0.208,single_line
1788182986.720,unpaired,0.08135,-0.47352,0.22825,2,0.208,single_line
1788182986.770,unpaired,0.05008,-0.33492,0.22825,2,0.188,single_line
1788182986.820,unpaired,0.04268,-0.31673,0.22825,2,0.167,single_line
1788182986.970,bad_width,0.04500,-0.32556,0.15637,2,0.396,ok
1788182987.020,unpaired,0.10827,-0.59803,0.21563,2,0.208,single_line
1788182987.070,unpaired,0.11388,-0.60366,0.21563,2,0.188,single_line
1788182987.170,bad_width,0.04309,-0.32910,0.16131,2,0.396,ok
1788182987.220,bad_width,0.03851,-0.31483,0.16503,2,0.396,ok
1788182987.270,unpaired,0.00000,0.00000,0.00000,1,0.000,fewer_than_two_lines
1788182987.320,unpaired,0.00000,0.00000,0.00000,1,0.000,fewer_than_two_lines
1788182987.420,unpaired,0.07467,-0.46329,0.19682,2,0.229,single_line
1788182987.470,unpaired,0.00000,0.00000,0.00000,1,0.000,fewer_than_two_lines
1788182987.520,unpaired,0.00000,0.00000,0.00000,1,0.000,fewer_than_two_lines
1788182987.570,unpaired,-0.02168,-0.06172,0.19682,2,0.083,single_line
1788182987.670,unpaired,0.00000,0.00000,0.00000,1,0.000,fewer_than_two_lines
1788182987.720,unpaired,0.11035,-0.69364,0.19682,1,0.354,single_line
1788182987.770,unpaired,0.10940,-0.70837,0.19682,1,0.375,single_line
1788182987.820,unpaired,0.10850,-0.70779,0.19682,1,0.375,single_line
1788182987.870,unpaired,0.09492,-0.66797,0.19682,1,0.396,single_line
1788182987.970,bad_width,0.19735,-0.36714,0.18399,2,0.438,ok
1788182988.020,unpaired,-0.00119,-0.09721,0.19425,2,0.312,single_line
1788182988.070,bad_width,0.19559,-0.32469,0.20983,2,0.417,ok
1788182988.120,bad_width,0.18683,-0.34229,0.19368,2,0.438,ok
1788182988.170,unpaired,-0.01659,-0.02512,0.19663,2,0.312,single_line
1788182988.270,unpaired,-0.02147,-0.00326,0.19663,2,0.312,single_line
1788182988.320,bad_width,0.15416,-0.37148,0.15492,2,0.438,ok
1788182988.370,unpaired,-0.02869,0.05627,0.18829,2,0.354,single_line
1788182988.420,unpaired,-0.03881,0.13251,0.18829,2,0.354,single_line
1788182988.470,unpaired,-0.04306,0.15945,0.18829,2,0.354,single_line
1788182988.670,unpaired,-0.04952,0.16618,0.19882,2,0.375,single_line
1788182988.770,bad_width,-0.02766,-0.39046,0.15867,2,0.458,ok
1788182988.870,unpaired,-0.04708,0.12538,0.19387,2,0.333,single_line
1788182988.920,unpaired,-0.05055,0.15301,0.19387,2,0.333,single_line
1788182988.970,bad_width,-0.03212,-0.38839,0.14590,2,0.458,ok
1788182989.070,unpaired,0.02964,-0.40630,0.18427,2,0.125,single_line
1788182989.120,unpaired,-0.01260,0.26933,0.18427,2,0.125,single_line
1788182989.220,unpaired,-0.07648,0.28037,0.19455,2,0.333,single_line
1788182989.320,unpaired,-0.06581,0.19261,0.19455,2,0.333,single_line
1788182989.370,unpaired,-0.06550,0.19812,0.19455,2,0.333,single_line
1788182989.420,unpaired,-0.06878,0.20502,0.19455,2,0.333,single_line
1788182989.470,unpaired,-0.01539,-0.19043,0.19455,2,0.229,single_line
1788182989.570,unpaired,-0.01911,-0.16347,0.19455,2,0.208,single_line
1788182989.620,unpaired,-0.01786,-0.17308,0.19455,2,0.271,single_line
1788182989.670,unpaired,-0.01829,-0.16682,0.19455,2,0.271,single_line
1788182989.720,unpaired,-0.02353,-0.12375,0.19455,2,0.292,single_line
1788182989.820,unpaired,-0.01129,-0.23376,0.19455,2,0.188,single_line
1788182989.870,unpaired,-0.01793,-0.15386,0.19455,2,0.292,single_line
1788182989.920,unpaired,-0.02048,-0.14185,0.19455,2,0.250,single_line
1788182989.970,unpaired,-0.02055,-0.14397,0.19455,2,0.312,single_line
1788182990.070,unpaired,-0.02145,-0.14466,0.19455,2,0.312,single_line
1788182990.121,unpaired,-0.02119,-0.14622,0.19455,2,0.333,single_line
1788182990.170,unpaired,-0.02130,-0.14363,0.19455,2,0.354,single_line
1788182990.220,unpaired,-0.02241,-0.13518,0.19455,2,0.354,single_line
1788182990.320,unpaired,-0.07194,0.23847,0.19455,2,0.333,single_line
1788182990.370,unpaired,-0.07279,0.06868,0.19455,2,0.354,single_line
1788182990.420,bad_width,0.10209,-0.28725,0.16271,2,0.521,ok
1788182990.470,unpaired,-0.06694,0.09257,0.18818,2,0.125,single_line
1788182990.570,bad_width,0.11099,-0.29246,0.14796,2,0.500,ok
1788182990.620,unpaired,-0.05929,0.03227,0.18014,2,0.396,single_line
1788182990.670,bad_width,0.10112,-0.28459,0.16948,2,0.458,ok
1788182990.720,bad_width,0.11031,-0.28388,0.18746,2,0.417,ok
1788182990.820,unpaired,-0.02672,-0.03961,0.17990,2,0.208,single_line
1788182990.870,unpaired,-0.02446,-0.06195,0.17990,2,0.208,single_line
1788182990.920,unpaired,-0.02480,-0.06125,0.17990,2,0.208,single_line
1788182991.020,bad_width,-0.01370,-0.27295,0.14603,2,0.417,ok
1788182991.020,bad_width,-0.01370,-0.27295,0.14603,2,0.417,ok
1788182991.120,bad_width,-0.03128,-0.28972,0.17237,2,0.375,ok
1788182991.170,unpaired,-0.02311,-0.03340,0.16864,2,0.208,single_line
1788182991.270,bad_width,-0.01450,-0.25651,0.16172,2,0.396,ok
1788182991.320,unpaired,-0.00650,0.02248,0.16725,2,0.229,single_line
1788182991.370,unpaired,-0.01276,-0.07863,0.16725,2,0.208,single_line
1788182991.420,unpaired,-0.01189,0.05597,0.16725,2,0.229,single_line
1788182991.520,unpaired,-0.02707,0.03427,0.16725,2,0.167,single_line
1788182991.570,unpaired,-0.02543,0.03221,0.16725,2,0.167,single_line
1788182991.620,unpaired,-0.03114,0.16249,0.16725,2,0.292,single_line
1788182991.670,unpaired,-0.00055,-0.20898,0.16725,2,0.125,single_line
1788182991.770,unpaired,-0.03271,0.08566,0.16725,2,0.167,single_line
1788182991.820,unpaired,0.02196,-0.06191,0.16725,2,0.292,single_line
1788182991.870,unpaired,0.02268,0.64123,0.16725,2,0.250,single_line
1788182991.920,unpaired,-0.03365,0.09526,0.16725,2,0.167,single_line
1788182992.020,unpaired,-0.01971,0.77571,0.16725,2,0.271,single_line
1788182992.070,unpaired,-0.01079,0.15649,0.16725,2,0.250,single_line
1788182992.120,unpaired,-0.00821,-0.09636,0.16725,2,0.104,single_line
1788182992.170,bad_width,-0.01261,0.10206,0.16984,2,0.417,ok
1788182992.270,unpaired,-0.04385,0.19336,0.16777,3,0.146,single_line
1788182992.320,unpaired,-0.04389,0.19118,0.16777,2,0.167,single_line
1788182992.370,unpaired,-0.00585,-0.10858,0.16777,2,0.104,single_line
1788182992.420,bad_width,-0.03087,-0.19395,0.18520,2,0.417,ok
1788182992.470,unpaired,-0.01275,0.81006,0.17126,2,0.271,single_line
1788182992.570,bad_width,-0.03166,-0.17748,0.14572,2,0.417,ok
1788182992.620,bad_width,-0.03594,-0.15907,0.18823,2,0.417,ok
1788182992.720,unpaired,-0.01479,-0.15839,0.18266,2,0.104,single_line
1788182992.770,unpaired,-0.01301,-0.16903,0.18266,2,0.104,single_line
1788182992.870,unpaired,-0.01162,-0.17345,0.18266,2,0.083,single_line
1788182992.920,unpaired,-0.04075,0.11481,0.18266,3,0.146,single_line
1788182992.970,unpaired,0.01260,-0.32061,0.18266,2,0.104,single_line
1788182993.020,unpaired,-0.05530,0.22119,0.18266,2,0.146,single_line
1788182993.120,unpaired,-0.05716,0.23295,0.18266,2,0.146,single_line
1788182993.170,unpaired,-0.05653,0.22426,0.18266,2,0.146,single_line
1788182993.220,unpaired,-0.05774,0.23543,0.18266,2,0.125,single_line
1788182993.270,unpaired,-0.05717,0.22642,0.18266,2,0.125,single_line
1788182993.370,unpaired,-0.02834,0.49016,0.18266,1,0.229,single_line
1788182993.420,unpaired,-0.07492,0.61746,0.18266,1,0.208,single_line
1788182993.470,unpaired,-0.06592,0.61063,0.18266,1,0.188,single_line
1788182993.570,unpaired,-0.04963,0.19756,0.18266,2,0.229,single_line
1788182993.620,unpaired,-0.02651,0.03413,0.18266,2,0.208,single_line
1788182993.670,unpaired,-0.04845,0.20298,0.18266,2,0.271,single_line
1788182993.720,unpaired,-0.04885,0.20950,0.18266,2,0.271,single_line
1788182993.820,unpaired,-0.04208,0.62853,0.18266,2,0.250,single_line
1788182993.870,unpaired,-0.03345,0.11005,0.18266,2,0.292,single_line
1788182993.920,unpaired,-0.06001,0.28858,0.18266,2,0.292,single_line
1788182993.970,unpaired,-0.03970,0.15710,0.18266,2,0.250,single_line
1788182994.070,bad_width,-0.09754,-0.18986,0.29693,3,0.396,ok
1788182994.120,bad_width,0.21340,0.37192,0.29132,3,0.250,ok
1788182994.170,unpaired,-0.05577,0.13386,0.22267,3,0.250,single_line
1788182994.220,unpaired,-0.05387,0.11625,0.22267,2,0.271,single_line
1788182994.270,unpaired,-0.05069,0.09925,0.22267,1,0.292,single_line
1788182994.370,unpaired,-0.04918,0.09098,0.22267,1,0.292,single_line
1788182994.420,unpaired,-0.04868,0.08836,0.22267,1,0.292,single_line
1788182994.470,unpaired,-0.04679,0.08195,0.22267,1,0.271,single_line
1788182994.570,unpaired,-0.04371,0.06373,0.22267,1,0.312,single_line
1788182994.620,unpaired,-0.07157,0.25049,0.22267,1,0.354,single_line
1788182994.670,unpaired,-0.04030,0.04307,0.22267,1,0.333,single_line
1788182994.720,unpaired,-0.04347,0.07191,0.22267,1,0.333,single_line
1788182994.770,unpaired,-0.04113,0.05408,0.22267,1,0.312,single_line
1788182994.870,unpaired,-0.04770,0.09457,0.22267,1,0.292,single_line
1788182994.920,unpaired,-0.04671,0.09221,0.22267,1,0.292,single_line
1788182994.970,unpaired,-0.04746,0.08951,0.22267,1,0.292,single_line
