timestamp,mode,cage_version,raw_steering,raw_throttle,safe_steering,safe_throttle,emergency,rules_fired,cycles_since_last_state,oscillation_persistent,osc_rate_c01,osc_rate_c02,osc_rate_c03,ey,epsi,speed,kappa_ahead
1788187655.694220,monitoring,0.6.1,-0.18488194048404694,0.8013030886650085,-0.18488194048404694,0.8013030886650085,1,C-01;C-05,0,0,0.0,0.0,0.0,-0.29773473930391914,0.34525736097538995,1.1658778443879541e-05,-0.7119924733547697
1788187655.797370,monitoring,0.6.1,-0.1847047656774521,0.8004606068134308,-0.1847047656774521,0.8004606068134308,1,C-01;C-05,0,0,0.0,0.0,0.0,-0.29773473930391914,0.34525736097538995,1.1658778443879541e-05,-0.7119924733547697
1788187655.896412,monitoring,0.6.1,-0.18596775829792023,0.80110302567482,-0.18596775829792023,0.80110302567482,1,C-01;C-05,0,0,0.0,0.0,0.0,-0.29773473930391914,0.34525736097538995,0.0003441322342602198,-0.7119924733547697
1788187656.003150,monitoring,0.6.1,-0.18440291285514832,0.801007091999054,-0.18440291285514832,0.801007091999054,1,C-01;C-05,0,0,0.0,0.0,0.0,-0.2947411523031971,0.3574448370706818,0.00010002316330501032,-0.7285488855144606
1788187656.216127,monitoring,0.6.1,-0.18190917372703552,0.8022334277629852,-0.18190917372703552,0.8022334277629852,1,C-01;C-05,0,0,0.0,0.0,0.0,-0.29079335004512646,0.34525736097538995,0.0001948712920176597,-0.7342102215880071
1788187656.279748,monitoring,0.6.1,-0.18287982046604156,0.8008426427841187,-0.18287982046604156,0.8008426427841187,1,C-01;C-05,0,0,0.0,0.0,0.0,-0.29079335004512646,0.34525736097538995,0.0001948712920176597,-0.7342102215880071
1788187656.404551,monitoring,0.6.1,-0.18419840931892395,0.8016850650310516,-0.18419840931892395,0.8016850650310516,1,C-01;C-05,0,0,0.0,0.0,0.0,-0.2955769680993972,0.3574448370706818,0.0005533058053936488,-0.7278323237956381
1788187656.509371,monitoring,0.6.1,-0.18362021446228027,0.8016218543052673,-0.18362021446228027,0.8016218543052673,1,C-01;C-05,0,0,0.0,0.0,0.0,-0.29360079590744403,0.34525736097538995,0.00010782220257809835,-0.721923964065942
1788187656.593106,monitoring,0.6.1,-0.1840190589427948,0.8011074364185333,-0.1840190589427948,0.8011074364185333,1,C-01;C-05,0,0,0.0,0.0,0.0,-0.29360079590744403,0.34525736097538995,0.00010782220257809835,-0.721923964065942
1788187656.809350,monitoring,0.6.1,-0.18334920704364777,0.8008281290531158,-0.18334920704364777,0.8008281290531158,1,C-01;C-05,0,0,0.0,0.0,0.0,-0.2994810987900546,0.34525736097538995,0.00041383637343306095,-0.7010220725582724
1788187656.892466,monitoring,0.6.1,-0.18152613937854767,0.8004142642021179,-0.18152613937854767,0.8004142642021179,1,C-01;C-05,0,0,0.0,0.0,0.0,-0.2994810987900546,0.34525736097538995,0.00041383637343306095,-0.7010220725582724
1788187656.983271,monitoring,0.6.1,-0.18445196747779846,0.8005089461803436,-0.18445196747779846,0.8005089461803436,1,C-01;C-05,0,0,0.0,0.0,0.0,-0.29820790602020675,0.3574448370706818,0.0001196598241416032,-0.7174170318960247
1788187657.107580,monitoring,0.6.1,-0.18456414341926575,0.8001522421836853,-0.18456414341926575,0.8001522421836853,1,C-01;C-05,0,0,0.0,0.0,0.0,-0.2965152337007646,0.34525736097538995,8.449332222448983e-05,-0.7163179366930655
1788187657.226997,monitoring,0.6.1,-0.18395239114761353,0.800836443901062,-0.18395239114761353,0.800836443901062,1,C-01;C-05,0,0,0.0,0.0,0.0,-0.29411485333391896,0.3574448370706818,0.00032510962296417733,-0.7254807568936947
1788187657.289666,monitoring,0.6.1,-0.1838231086730957,0.8005311489105225,-0.1838231086730957,0.8005311489105225,1,C-01;C-05,0,0,0.0,0.0,0.0,-0.29411485333391896,0.3574448370706818,0.00032510962296417733,-0.7254807568936947
1788187657.416402,monitoring,0.6.1,-0.18359550833702087,0.8006916344165802,-0.18359550833702087,0.8006916344165802,1,C-01;C-05,0,0,0.0,0.0,0.0,-0.2948421197887392,0.3329621005126291,0.0001799950244053238,-0.7131144169090453
1788187657.514636,monitoring,0.6.1,-0.1837422102689743,0.8016166090965271,-0.1837422102689743,0.8016166090965271,1,C-01;C-05,0,0,0.0,0.0,0.0,-0.2972334756658257,0.3574448370706818,0.00018345659331087986,-0.7197925361020008
1788187657.615508,monitoring,0.6.1,-0.18399345874786377,0.7998464703559875,-0.18399345874786377,0.7998464703559875,1,C-01;C-05,0,0,0.0,0.0,0.0,-0.2972334756658257,0.3574448370706818,0.00018345659331087986,-0.7197925361020008
1788187657.721334,monitoring,0.6.1,-0.18080005049705505,0.7996602654457092,-0.18080005049705505,0.7996602654457092,1,C-01;C-05,0,0,0.0,0.0,0.0,-0.29574869293783757,0.3574448370706818,5.886146529386025e-05,-0.7241182355523453
1788187657.805144,monitoring,0.6.1,-0.18018177151679993,0.8011764585971832,-0.18018177151679993,0.8011764585971832,1,C-01;C-05,0,0,0.0,0.0,0.0,-0.29574869293783757,0.3574448370706818,5.886146529386025e-05,-0.7241182355523453
