step,sim_t,x,y,yaw,s,ey,epsi,raw_steer,safe_steer,rules_fired
230,11.5000,2.2310,0.2504,0.8330,10.2265,-0.1160,-0.1095,0.7677,0.7677,
231,11.5500,2.2377,0.2578,0.8483,10.2265,-0.1170,-0.0942,0.7467,0.7467,
232,11.6000,2.2442,0.2654,0.8631,10.2265,-0.1179,-0.0794,0.7257,0.7257,
233,11.6500,2.2507,0.2730,0.8775,10.2265,-0.1186,-0.0650,0.7047,0.7047,
234,11.7000,2.2570,0.2808,0.8915,10.2265,-0.1192,-0.0510,0.6837,0.6837,
235,11.7500,2.2632,0.2886,0.9051,10.2265,-0.1196,-0.0374,0.6628,0.6628,
236,11.8000,2.2694,0.2965,0.9182,10.2265,-0.1199,-0.0243,0.6420,0.6420,
237,11.8500,2.2754,0.3045,0.9309,10.2265,-0.1201,-0.0116,0.6212,0.6212,
238,11.9000,2.2813,0.3125,0.9432,10.2265,-0.1201,0.0007,0.6005,0.6005,
239,11.9500,2.2871,0.3207,0.9550,10.3269,-0.1222,-0.1132,0.8226,0.7505,C-06
240,12.0000,2.2928,0.3289,0.9700,10.3269,-0.1233,-0.0982,0.7848,0.7848,
241,12.0500,2.2984,0.3372,0.9856,10.3269,-0.1242,-0.0826,0.7628,0.7628,
242,12.1000,2.3039,0.3456,1.0008,10.3269,-0.1249,-0.0674,0.7407,0.7407,
243,12.1500,2.3092,0.3540,1.0156,10.3269,-0.1255,-0.0526,0.7186,0.7186,
244,12.2000,2.3144,0.3625,1.0298,10.3269,-0.1260,-0.0384,0.6966,0.6966,
245,12.2500,2.3195,0.3712,1.0437,10.3269,-0.1263,-0.0245,0.6747,0.6747,
246,12.3000,2.3245,0.3798,1.0570,10.3269,-0.1265,-0.0112,0.6528,0.6528,
247,12.3500,2.3294,0.3886,1.0699,10.3269,-0.1265,0.0017,0.6310,0.6310,
248,12.4000,2.3341,0.3974,1.0824,10.3269,-0.1265,0.0142,0.6094,0.6094,
249,12.4500,2.3387,0.4062,1.0944,10.3269,-0.1263,0.0263,0.5879,0.5879,
250,12.5000,2.3433,0.4151,1.1060,10.4274,-0.1273,-0.0878,0.7887,0.7379,C-06
251,12.5500,2.3477,0.4241,1.1207,10.4274,-0.1281,-0.0731,0.7663,0.7663,
252,12.6000,2.3520,0.4332,1.1360,10.4274,-0.1288,-0.0578,0.7438,0.7438,
253,12.6500,2.3561,0.4423,1.1508,10.4274,-0.1293,-0.0430,0.7211,0.7211,
254,12.7000,2.3601,0.4514,1.1651,10.4274,-0.1296,-0.0287,0.6985,0.6985,
255,12.7500,2.3640,0.4606,1.1790,10.4274,-0.1299,-0.0148,0.6761,0.6761,
256,12.8000,2.3678,0.4699,1.1924,10.4274,-0.1300,-0.0014,0.6537,0.6537,
257,12.8500,2.3714,0.4792,1.2053,10.4274,-0.1299,0.0115,0.6314,0.6314,
258,12.9000,2.3749,0.4886,1.2178,10.4274,-0.1297,0.0240,0.6093,0.6093,
259,12.9500,2.3783,0.4980,1.2298,10.4274,-0.1294,0.0360,0.5874,0.5874,
260,13.0000,2.3816,0.5074,1.2414,10.4274,-0.1290,0.0476,0.5656,0.5656,
261,13.0500,2.3848,0.5169,1.2525,10.4274,-0.1285,0.0587,0.5440,0.5440,
262,13.1000,2.3879,0.5264,1.2633,10.5278,-0.1296,-0.0564,0.7554,0.6940,C-06
263,13.1500,2.3908,0.5360,1.2770,10.5278,-0.1301,-0.0426,0.7244,0.7244,
264,13.2000,2.3937,0.5456,1.2914,10.5278,-0.1305,-0.0282,0.7018,0.7018,
265,13.2500,2.3963,0.5552,1.3053,10.5278,-0.1307,-0.0143,0.6791,0.6791,
266,13.3000,2.3989,0.5649,1.3188,10.5278,-0.1308,-0.0008,0.6565,0.6565,
267,13.3500,2.4013,0.5746,1.3318,10.5278,-0.1307,0.0122,0.6341,0.6341,
268,13.4000,2.4036,0.5843,1.3443,10.5278,-0.1305,0.0247,0.6118,0.6118,
269,13.4500,2.4058,0.5940,1.3564,10.5278,-0.1302,0.0368,0.5896,0.5896,
270,13.5000,2.4079,0.6038,1.3680,10.5278,-0.1298,0.0484,0.5677,0.5677,
271,13.5500,2.4099,0.6136,1.3792,10.5278,-0.1292,0.0596,0.5459,0.5459,
