iso,uptime_s,load1,mem_used_mb,mem_avail_mb,swap_used_mb,train_rss_mb,gz_rss_mb,n_gz,gpu_mem_mb,gpu_util,gpu_temp,disk_avail_gb,timestep
2026-08-21T20:03:42+02:00,203964,0.97,9652,21540,0,2093,1916,1,1230,3,55,352,962496
2026-08-21T20:04:42+02:00,204024,0.88,9649,21544,0,2093,1916,1,1230,3,55,352,962496
2026-08-21T20:05:42+02:00,204084,1.71,9678,21514,0,2093,1916,1,1230,2,55,352,963520
2026-08-21T20:06:42+02:00,204144,2.46,9650,21542,0,2093,1916,1,1230,3,55,352,963520
2026-08-21T20:07:42+02:00,204204,1.45,9648,21545,0,2093,1916,1,1230,2,55,352,964544
2026-08-21T20:08:42+02:00,204264,0.66,9660,21532,0,2093,1916,1,1230,3,55,352,964544
2026-08-21T20:09:42+02:00,204324,0.24,9642,21550,0,2093,1916,1,1230,3,55,352,965568
2026-08-21T20:10:42+02:00,204384,0.15,9649,21544,0,2093,1916,1,1230,3,55,352,965568
2026-08-21T20:11:42+02:00,204444,1.64,9666,21526,0,2093,1916,1,1230,3,55,352,966592
2026-08-21T20:12:42+02:00,204504,1.15,9644,21548,0,2093,1916,1,1230,3,55,352,966592
2026-08-21T20:13:42+02:00,204564,0.93,9659,21533,0,2093,1916,1,1230,3,55,352,967616
2026-08-21T20:14:42+02:00,204624,0.70,9666,21526,0,2093,1916,1,1230,3,55,352,967616
2026-08-21T20:15:42+02:00,204684,0.26,9640,21552,0,2093,1916,1,1230,3,55,352,968640
2026-08-21T20:16:42+02:00,204744,2.03,9671,21521,0,2093,1916,1,1230,3,55,352,968640
2026-08-21T20:17:42+02:00,204804,2.01,9665,21527,0,2093,1916,1,1230,3,54,352,969664
2026-08-21T20:18:42+02:00,204864,1.29,9654,21539,0,2093,1916,1,1230,3,54,352,969664
2026-08-21T20:19:42+02:00,204924,1.14,9665,21527,0,2093,1916,1,1230,3,54,352,970688
2026-08-21T20:20:43+02:00,204985,1.05,9671,21521,0,2093,1916,1,1230,3,55,352,970688
2026-08-21T20:21:43+02:00,205045,0.79,9647,21545,0,2093,1916,1,1230,3,55,352,971712
2026-08-21T20:22:43+02:00,205105,0.84,9670,21522,0,2093,1916,1,1230,3,55,352,971712
2026-08-21T20:23:43+02:00,205165,0.44,9661,21532,0,2093,1916,1,1230,3,54,352,972736
2026-08-21T20:24:43+02:00,205225,0.90,9664,21529,0,2093,1916,1,1230,3,55,352,972736
2026-08-21T20:25:43+02:00,205285,1.09,9662,21530,0,2093,1916,1,1230,3,55,352,973760
2026-08-21T20:26:43+02:00,205345,0.99,9666,21526,0,2093,1916,1,1230,4,55,352,973760
2026-08-21T20:27:43+02:00,205405,1.48,9672,21520,0,2093,1916,1,1230,2,55,352,974784
2026-08-21T20:28:43+02:00,205465,1.24,9675,21517,0,2093,1916,1,1230,3,54,352,974784
2026-08-21T20:29:43+02:00,205525,0.72,9641,21551,0,2093,1916,1,1230,3,55,352,975808
2026-08-21T20:30:43+02:00,205585,0.74,9650,21543,0,2093,1916,1,1230,3,54,352,975808
2026-08-21T20:31:43+02:00,205645,0.82,9678,21514,0,2093,1916,1,1230,3,55,352,976832
2026-08-21T20:32:43+02:00,205705,0.98,9666,21526,0,2106,1916,1,1230,2,54,352,976832
2026-08-21T20:33:43+02:00,205765,1.04,9654,21538,0,2076,1916,1,1230,3,55,352,977856
2026-08-21T20:34:43+02:00,205825,1.30,9653,21539,0,2076,1916,1,1230,3,55,352,977856
2026-08-21T20:35:43+02:00,205885,1.45,9633,21560,0,2076,1916,1,1230,3,55,352,978880
2026-08-21T20:36:43+02:00,205945,1.45,9625,21567,0,2078,1916,1,1230,3,55,352,978880
2026-08-21T20:37:43+02:00,206005,1.45,9651,21541,0,2090,1916,1,1230,3,55,352,979904
2026-08-21T20:38:43+02:00,206065,1.81,9648,21544,0,2090,1916,1,1230,3,55,352,979904
2026-08-21T20:39:43+02:00,206125,0.96,9653,21539,0,2090,1916,1,1230,3,55,352,980928
2026-08-21T20:40:43+02:00,206185,0.78,9650,21542,0,2090,1916,1,1230,3,55,352,980928
2026-08-21T20:41:43+02:00,206245,2.39,9646,21546,0,2090,1916,1,1230,4,55,352,981952
2026-08-21T20:42:43+02:00,206305,2.26,9659,21534,0,2090,1916,1,1230,3,55,352,981952
2026-08-21T20:43:43+02:00,206365,1.22,9660,21532,0,2090,1916,1,1230,2,54,352,982976
2026-08-21T20:44:43+02:00,206425,1.08,9653,21539,0,2090,1916,1,1230,2,54,352,982976
2026-08-21T20:45:43+02:00,206485,0.96,9644,21548,0,2090,1916,1,1230,3,54,352,984000
2026-08-21T20:46:43+02:00,206545,2.30,9672,21520,0,2090,1916,1,1230,3,54,352,984000
2026-08-21T20:47:43+02:00,206605,1.25,9652,21540,0,2090,1917,1,1230,3,54,352,985024
2026-08-21T20:48:43+02:00,206665,0.80,9647,21545,0,2090,1917,1,1230,3,54,352,985024
2026-08-21T20:49:43+02:00,206725,0.75,9675,21517,0,2090,1917,1,1230,2,54,352,986048
2026-08-21T20:50:43+02:00,206785,0.84,9647,21545,0,2090,1917,1,1230,3,54,352,986048
2026-08-21T20:51:43+02:00,206845,1.37,9663,21529,0,2090,1917,1,1230,3,54,352,987072
2026-08-21T20:52:44+02:00,206906,1.39,9657,21536,0,2090,1917,1,1230,3,54,352,987072
2026-08-21T20:53:44+02:00,206966,1.00,9647,21545,0,2090,1917,1,1230,3,55,352,988096
2026-08-21T20:54:44+02:00,207026,1.01,9655,21537,0,2090,1917,1,1230,4,54,352,988096
2026-08-21T20:55:44+02:00,207086,0.76,9647,21545,0,2090,1917,1,1230,3,55,352,989120
2026-08-21T20:56:44+02:00,207146,1.19,9652,21541,0,2090,1917,1,1230,2,55,352,989120
2026-08-21T20:57:44+02:00,207206,0.87,9656,21536,0,2090,1917,1,1230,3,54,352,989120
2026-08-21T20:58:44+02:00,207266,0.82,9685,21507,0,2103,1917,1,1230,3,55,352,990144
2026-08-21T20:59:44+02:00,207326,0.38,9690,21502,0,2117,1917,1,1230,3,55,352,990144
2026-08-21T21:00:44+02:00,207386,0.42,9644,21548,0,2076,1917,1,1230,3,55,352,991168
2026-08-21T21:01:44+02:00,207446,0.22,9662,21530,0,2076,1917,1,1230,3,55,352,991168
2026-08-21T21:02:44+02:00,207506,3.14,9636,21556,0,2076,1917,1,1230,2,54,352,992192
2026-08-21T21:03:44+02:00,207566,1.31,9668,21524,0,2089,1917,1,1230,2,54,352,992192
2026-08-21T21:04:44+02:00,207626,0.74,9667,21525,0,2090,1917,1,1230,3,54,352,993216
2026-08-21T21:05:44+02:00,207686,0.46,9653,21539,0,2090,1917,1,1230,3,54,352,993216
2026-08-21T21:06:44+02:00,207746,0.29,9663,21529,0,2090,1917,1,1230,3,54,352,994240
2026-08-21T21:07:44+02:00,207806,1.66,9643,21549,0,2090,1917,1,1230,3,54,352,994240
2026-08-21T21:08:44+02:00,207866,1.22,9662,21531,0,2090,1917,1,1230,3,54,352,995264
2026-08-21T21:09:44+02:00,207926,0.88,9687,21506,0,2090,1917,1,1230,2,54,352,995264
2026-08-21T21:10:44+02:00,207986,0.92,9662,21530,0,2090,1917,1,1230,2,54,352,996288
2026-08-21T21:11:44+02:00,208046,0.89,9669,21523,0,2090,1917,1,1230,3,55,352,996288
2026-08-21T21:12:44+02:00,208106,0.87,9680,21512,0,2090,1917,1,1230,3,55,352,997312
2026-08-21T21:13:44+02:00,208166,0.95,9667,21525,0,2090,1917,1,1230,3,55,352,997312
2026-08-21T21:14:44+02:00,208226,0.70,9689,21503,0,2090,1917,1,1230,3,55,352,998336
2026-08-21T21:15:44+02:00,208286,1.57,9685,21507,0,2090,1917,1,1230,3,54,352,998336
2026-08-21T21:16:44+02:00,208346,4.03,9686,21506,0,2103,1917,1,1230,3,54,352,999360
2026-08-21T21:17:44+02:00,208406,3.91,9708,21484,0,2115,1917,1,1230,3,54,352,999360
2026-08-21T21:18:44+02:00,208466,2.31,9669,21523,0,2068,1917,1,1230,2,54,352,1000384
2026-08-21T21:19:44+02:00,208526,1.66,9653,21539,0,2068,1917,1,1230,3,54,352,1000384
2026-08-21T21:20:44+02:00,208586,1.39,9663,21529,0,2075,1917,1,1230,3,54,352,1001408
2026-08-21T21:21:44+02:00,208646,0.98,9670,21522,0,2089,1917,1,1230,3,54,352,1001408
2026-08-21T21:22:44+02:00,208706,2.00,9662,21530,0,2090,1917,1,1230,3,54,352,1002432
2026-08-21T21:23:44+02:00,208766,1.39,9654,21538,0,2090,1917,1,1230,2,54,352,1002432
2026-08-21T21:24:45+02:00,208827,1.45,9640,21552,0,2090,1917,1,1230,3,54,352,1003456
2026-08-21T21:25:45+02:00,208887,1.22,9567,21626,0,2090,1917,1,1230,3,54,352,1003456
2026-08-21T21:26:45+02:00,208947,1.12,9530,21663,0,2090,1917,1,1230,3,54,352,1004480
2026-08-21T21:27:45+02:00,209007,4.14,9565,21627,0,2090,1917,1,1230,3,54,352,1004480
2026-08-21T21:28:45+02:00,209067,3.61,9556,21636,0,2090,1917,1,1230,3,54,352,1005504
2026-08-21T21:29:45+02:00,209127,2.01,9545,21647,0,2090,1917,1,1230,3,54,352,1005504
2026-08-21T21:30:45+02:00,209187,1.11,9565,21627,0,2100,1917,1,1230,3,54,352,1006528
2026-08-21T21:31:45+02:00,209247,1.16,9592,21600,0,2114,1917,1,1230,2,54,352,1006528
2026-08-21T21:32:45+02:00,209307,1.06,9574,21618,0,2076,1917,1,1230,3,54,352,1007552
2026-08-21T21:33:45+02:00,209367,0.75,9591,21601,0,2076,1917,1,1230,3,54,352,1007552
2026-08-21T21:34:45+02:00,209427,0.41,9581,21611,0,2076,1917,1,1230,3,54,352,1008576
2026-08-21T21:35:45+02:00,209487,0.66,9585,21607,0,2083,1917,1,1235,3,54,352,1008576
2026-08-21T21:36:45+02:00,209547,1.20,9588,21604,0,2090,1917,1,1235,2,54,352,1009600
2026-08-21T21:37:45+02:00,209607,1.11,9614,21579,0,2090,1917,1,1235,3,54,352,1009600
2026-08-21T21:38:45+02:00,209667,3.04,9583,21609,0,2090,1917,1,1235,3,54,352,1010624
2026-08-21T21:39:45+02:00,209727,1.72,9594,21598,0,2090,1917,1,1235,2,54,352,1010624
2026-08-21T21:40:45+02:00,209787,1.43,9866,21326,0,2097,1917,1,1235,3,55,352,1011648
2026-08-21T21:41:45+02:00,209847,1.23,9631,21561,0,2111,1917,1,1236,3,55,352,1011648
2026-08-21T21:42:45+02:00,209907,1.12,9650,21542,0,2118,1917,1,1236,3,55,352,1012672
