step,sim_t,x,y,yaw,s,ey,epsi,raw_steer,safe_steer,rules_fired
173,8.6500,1.7261,0.0115,0.1087,9.7242,-0.0213,-0.2061,0.5953,0.5953,
174,8.7000,1.7360,0.0126,0.1204,9.7242,-0.0233,-0.1944,0.5971,0.5971,
175,8.7500,1.7460,0.0139,0.1322,9.7242,-0.0252,-0.1826,0.5947,0.5947,
176,8.8000,1.7559,0.0153,0.1439,9.7242,-0.0270,-0.1709,0.5916,0.5916,
177,8.8500,1.7658,0.0167,0.1556,9.7242,-0.0286,-0.1592,0.5874,0.5874,
178,8.9000,1.7756,0.0184,0.1672,9.7242,-0.0301,-0.1476,0.5821,0.5821,
179,8.9500,1.7855,0.0201,0.1787,9.7242,-0.0316,-0.1361,0.5759,0.5759,
180,9.0000,1.7953,0.0219,0.1900,9.7242,-0.0329,-0.1248,0.5687,0.5687,
181,9.0500,1.8051,0.0239,0.2012,9.7242,-0.0340,-0.1136,0.5606,0.5606,
182,9.1000,1.8149,0.0259,0.2123,9.8246,-0.0361,-0.2278,1.0000,0.7106,C-06
183,9.1500,1.8247,0.0281,0.2264,9.8246,-0.0383,-0.2137,0.7985,0.7985,
184,9.2000,1.8344,0.0304,0.2423,9.8246,-0.0403,-0.1977,0.7756,0.7756,
185,9.2500,1.8441,0.0329,0.2578,9.8246,-0.0422,-0.1823,0.7697,0.7697,
186,9.3000,1.8537,0.0355,0.2731,9.8246,-0.0440,-0.1669,0.7594,0.7594,
187,9.3500,1.8633,0.0383,0.2883,9.8246,-0.0455,-0.1518,0.7485,0.7485,
188,9.4000,1.8729,0.0412,0.3032,9.8246,-0.0470,-0.1369,0.7363,0.7363,
189,9.4500,1.8824,0.0442,0.3178,9.8246,-0.0483,-0.1223,0.7231,0.7231,
190,9.5000,1.8919,0.0474,0.3322,9.8246,-0.0494,-0.1079,0.7089,0.7089,
191,9.5500,1.9013,0.0508,0.3462,9.8246,-0.0504,-0.0938,0.6937,0.6937,
192,9.6000,1.9107,0.0542,0.3600,9.8246,-0.0513,-0.0801,0.6777,0.6777,
193,9.6500,1.9200,0.0578,0.3734,9.9251,-0.0533,-0.1919,1.0000,0.8277,C-06
194,9.7000,1.9293,0.0615,0.3900,9.9251,-0.0552,-0.1754,0.9022,0.9022,
195,9.7500,1.9385,0.0654,0.4081,9.9251,-0.0568,-0.1572,0.8719,0.8719,
196,9.8000,1.9477,0.0695,0.4256,9.9251,-0.0583,-0.1397,0.8580,0.8580,
197,9.8500,1.9568,0.0737,0.4428,9.9251,-0.0596,-0.1225,0.8400,0.8400,
198,9.9000,1.9658,0.0780,0.4597,9.9251,-0.0608,-0.1057,0.8213,0.8213,
199,9.9500,1.9747,0.0825,0.4761,9.9251,-0.0617,-0.0893,0.8016,0.8016,
200,10.0000,1.9835,0.0872,0.4921,9.9251,-0.0625,-0.0733,0.7810,0.7810,
201,10.0500,1.9923,0.0920,0.5077,9.9251,-0.0632,-0.0577,0.7595,0.7595,
202,10.1000,2.0010,0.0969,0.5228,9.9251,-0.0637,-0.0426,0.7372,0.7372,
203,10.1500,2.0096,0.1020,0.5375,9.9251,-0.0640,-0.0279,0.7142,0.7142,
204,10.2000,2.0182,0.1072,0.5516,10.0255,-0.0658,-0.1393,1.0000,0.8642,C-06
205,10.2500,2.0267,0.1125,0.5690,10.0255,-0.0671,-0.1219,0.9271,0.9271,
206,10.3000,2.0350,0.1179,0.5877,10.0255,-0.0682,-0.1032,0.8910,0.8910,
207,10.3500,2.0433,0.1236,0.6056,10.0255,-0.0691,-0.0853,0.8708,0.8708,
208,10.4000,2.0515,0.1293,0.6231,10.0255,-0.0699,-0.0679,0.8466,0.8466,
209,10.4500,2.0596,0.1352,0.6400,10.0255,-0.0705,-0.0509,0.8221,0.8221,
210,10.5000,2.0675,0.1413,0.6565,10.0255,-0.0709,-0.0345,0.7967,0.7967,
211,10.5500,2.0754,0.1474,0.6724,10.0255,-0.0712,-0.0186,0.7706,0.7706,
212,10.6000,2.0832,0.1537,0.6877,10.0255,-0.0713,-0.0032,0.7439,0.7439,
213,10.6500,2.0909,0.1601,0.7025,10.0255,-0.0712,0.0116,0.7166,0.7166,
214,10.7000,2.0984,0.1666,0.7168,10.0255,-0.0711,0.0258,0.6888,0.6888,
215,10.7500,2.1059,0.1733,0.7304,10.1259,-0.0723,-0.0866,1.0000,0.8388,C-06
216,10.8000,2.1133,0.1800,0.7472,10.1259,-0.0731,-0.0698,0.8947,0.8947,
217,10.8500,2.1206,0.1868,0.7652,10.1259,-0.0737,-0.0519,0.8550,0.8550,
218,10.9000,2.1278,0.1938,0.7823,10.1259,-0.0742,-0.0347,0.8308,0.8308,
219,10.9500,2.1348,0.2009,0.7990,10.1259,-0.0744,-0.0181,0.8030,0.8030,
220,11.0000,2.1417,0.2082,0.8150,10.1259,-0.0745,-0.0021,0.7751,0.7751,
221,11.0500,2.1485,0.2155,0.8305,10.1259,-0.0745,0.0134,0.7465,0.7465,
222,11.1000,2.1552,0.2229,0.8453,10.1259,-0.0743,0.0283,0.7174,0.7174,
223,11.1500,2.1618,0.2305,0.8596,10.1259,-0.0739,0.0425,0.6879,0.6879,
224,11.2000,2.1683,0.2381,0.8732,10.1259,-0.0734,0.0561,0.6580,0.6580,
225,11.2500,2.1746,0.2458,0.8862,10.1259,-0.0728,0.0692,0.6279,0.6279,
226,11.3000,2.1809,0.2536,0.8986,10.2265,-0.0736,-0.0430,1.0000,0.7779,C-06
227,11.3500,2.1871,0.2614,0.9141,10.2265,-0.0740,-0.0275,0.8263,0.8263,
228,11.4000,2.1931,0.2694,0.9307,10.2265,-0.0742,-0.0110,0.7860,0.7860,
229,11.4500,2.1990,0.2775,0.9464,10.2265,-0.0742,0.0047,0.7600,0.7600,
230,11.5000,2.2048,0.2856,0.9615,10.2265,-0.0741,0.0199,0.7309,0.7309,
231,11.5500,2.2105,0.2939,0.9760,10.2265,-0.0738,0.0344,0.7018,0.7018,
232,11.6000,2.2160,0.3022,0.9900,10.2265,-0.0734,0.0483,0.6723,0.6723,
233,11.6500,2.2214,0.3106,1.0033,10.2265,-0.0729,0.0616,0.6424,0.6424,
234,11.7000,2.2268,0.3191,1.0160,10.2265,-0.0722,0.0743,0.6123,0.6123,
235,11.7500,2.2320,0.3276,1.0281,10.2265,-0.0714,0.0864,0.5820,0.5820,
236,11.8000,2.2371,0.3362,1.0395,10.2265,-0.0705,0.0979,0.5517,0.5517,
237,11.8500,2.2421,0.3448,1.0504,10.3269,-0.0711,-0.0180,1.0000,0.7017,C-06
238,11.9000,2.2470,0.3535,1.0643,10.3269,-0.0712,-0.0041,0.7562,0.7562,
239,11.9500,2.2518,0.3623,1.0794,10.3269,-0.0712,0.0110,0.7155,0.7155,
240,12.0000,2.2565,0.3712,1.0936,10.3269,-0.0710,0.0252,0.6900,0.6900,
241,12.0500,2.2610,0.3801,1.1073,10.3269,-0.0707,0.0388,0.6615,0.6615,
242,12.1000,2.2654,0.3891,1.1204,10.3269,-0.0702,0.0519,0.6330,0.6330,
243,12.1500,2.2697,0.3981,1.1329,10.3269,-0.0697,0.0645,0.6043,0.6043,
244,12.2000,2.2739,0.4072,1.1448,10.3269,-0.0690,0.0764,0.5753,0.5753,
245,12.2500,2.2780,0.4163,1.1562,10.3269,-0.0681,0.0877,0.5462,0.5462,
246,12.3000,2.2820,0.4255,1.1669,10.3269,-0.0672,0.0985,0.5170,0.5170,
247,12.3500,2.2858,0.4347,1.1771,10.3269,-0.0662,0.1086,0.4878,0.4878,
248,12.4000,2.2896,0.4439,1.1867,10.4274,-0.0668,-0.0079,1.0000,0.6378,C-06
249,12.4500,2.2933,0.4532,1.1993,10.4274,-0.0668,0.0047,0.6948,0.6948,
250,12.5000,2.2969,0.4626,1.2131,10.4274,-0.0667,0.0185,0.6555,0.6555,
